,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
0,0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-72.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.24732208251953, 'left': 113, 'top': 66, 'width': 31, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 85.35092163085938}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.72562408447266, 'left': 346, 'top': 91, 'width': 26, 'height': 40, 'gender': {'gender': 'Male', 'confidence': 92.15796661376953}, 'age': {'minimum': 49, 'maximum': 57}}], 'date': '2023-07-08T12:34:05.888510', 'order': 1688819645}}"
1,1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-148.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.99398803710938, 'left': 350, 'top': 50, 'width': 44, 'height': 45, 'gender': {'gender': 'Male', 'confidence': 99.88944244384766}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 99.8330078125, 'left': 131, 'top': 76, 'width': 43, 'height': 45, 'gender': {'gender': 'Male', 'confidence': 64.57003021240234}, 'age': {'minimum': 42, 'maximum': 50}}], 'date': '2023-07-08T12:34:06.777587', 'order': 1688819646}}"
2,2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-36.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.74779510498047, 'left': 383, 'top': 139, 'width': 26, 'height': 35, 'gender': {'gender': 'Male', 'confidence': 99.23199462890625}, 'age': {'minimum': 41, 'maximum': 49}}, {'confidence': 99.79212951660156, 'left': 259, 'top': 279, 'width': 22, 'height': 33, 'gender': {'gender': 'Male', 'confidence': 90.48082733154297}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T12:34:07.616385', 'order': 1688819647}}"
3,3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-12.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T12:34:08.789463', 'order': 1688819648}}"
4,4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-140.jpg,stabilityai,3,0,3,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.82756042480469, 'left': 322, 'top': 133, 'width': 35, 'height': 55, 'gender': {'gender': 'Male', 'confidence': 98.73460388183594}, 'age': {'minimum': 40, 'maximum': 48}}, {'confidence': 99.42623901367188, 'left': 204, 'top': 172, 'width': 37, 'height': 52, 'gender': {'gender': 'Male', 'confidence': 99.92597961425781}, 'age': {'minimum': 35, 'maximum': 43}}, {'confidence': 99.98021697998047, 'left': 68, 'top': 123, 'width': 27, 'height': 36, 'gender': {'gender': 'Male', 'confidence': 99.49519348144531}, 'age': {'minimum': 23, 'maximum': 31}}], 'date': '2023-07-08T12:34:09.630496', 'order': 1688819649}}"
5,5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-0.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.92449188232422, 'left': 161, 'top': 150, 'width': 43, 'height': 52, 'gender': {'gender': 'Female', 'confidence': 73.79448699951172}, 'age': {'minimum': 23, 'maximum': 31}}], 'date': '2023-07-08T12:34:10.389084', 'order': 1688819650}}"
6,6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-26.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.45647430419922, 'left': 163, 'top': 120, 'width': 38, 'height': 53, 'gender': {'gender': 'Male', 'confidence': 99.98402404785156}, 'age': {'minimum': 45, 'maximum': 51}}, {'confidence': 94.2485580444336, 'left': 298, 'top': 97, 'width': 36, 'height': 48, 'gender': {'gender': 'Female', 'confidence': 70.78482818603516}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-07-08T12:34:11.191613', 'order': 1688819651}}"
7,7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-19.jpg,stabilityai,3,0,3,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.88685607910156, 'left': 338, 'top': 171, 'width': 34, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 98.62528991699219}, 'age': {'minimum': 42, 'maximum': 50}}, {'confidence': 92.31951141357422, 'left': 413, 'top': 63, 'width': 35, 'height': 46, 'gender': {'gender': 'Male', 'confidence': 99.9349594116211}, 'age': {'minimum': 36, 'maximum': 44}}, {'confidence': 99.93036651611328, 'left': 114, 'top': 74, 'width': 30, 'height': 51, 'gender': {'gender': 'Male', 'confidence': 99.27948760986328}, 'age': {'minimum': 41, 'maximum': 49}}], 'date': '2023-07-08T12:34:12.184525', 'order': 1688819652}}"
8,8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-18.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.98015594482422, 'left': 167, 'top': 124, 'width': 42, 'height': 51, 'gender': {'gender': 'Male', 'confidence': 99.02080535888672}, 'age': {'minimum': 21, 'maximum': 29}}, {'confidence': 99.64328002929688, 'left': 364, 'top': 207, 'width': 32, 'height': 40, 'gender': {'gender': 'Male', 'confidence': 81.56004333496094}, 'age': {'minimum': 26, 'maximum': 36}}], 'date': '2023-07-08T12:34:12.951361', 'order': 1688819652}}"
9,9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-161.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.41634368896484, 'left': 267, 'top': 139, 'width': 43, 'height': 60, 'gender': {'gender': 'Male', 'confidence': 99.94087219238281}, 'age': {'minimum': 49, 'maximum': 57}}], 'date': '2023-07-08T12:34:13.888761', 'order': 1688819653}}"
