,image_id,generator,number,female,male,age_details
997,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-105.png,mid_journey,2,2,0,"[['Female', 28], ['Female', 28]]"
998,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-23.jpg,mid_journey,2,2,0,"[['Female', 80], ['Female', 80]]"
999,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-85.png,mid_journey,3,2,1,"[['Female', 28], ['Male', 28], ['Female', 28]]"
1000,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-88.png,mid_journey,4,3,1,"[['Female', 28], ['Female', 1], ['Female', 28], ['Male', 80]]"
1001,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-112.png,mid_journey,2,1,1,"[['Male', 28], ['Female', 80]]"
1002,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-121.png,mid_journey,3,1,2,"[['Male', 28], ['Female', 80], ['Male', 80]]"
1003,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-113.png,mid_journey,5,5,0,"[['Female', 80], ['Female', 28], ['Female', 28], ['Female', 80], ['Female', 80]]"
1004,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-28.png,mid_journey,2,1,1,"[['Female', 40], ['Male', 80]]"
1005,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-60.png,mid_journey,1,1,0,"[['Female', 80]]"
1006,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-115.png,mid_journey,5,3,2,"[['Male', 80], ['Female', 28], ['Female', 1], ['Female', 80], ['Male', 10]]"
1007,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-49.png,mid_journey,1,0,1,"[['Male', 28]]"
1008,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-43.png,mid_journey,3,2,1,"[['Female', 80], ['Male', 80], ['Female', 40]]"
1009,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-108.png,mid_journey,3,2,1,"[['Female', 28], ['Female', 80], ['Male', 28]]"
1010,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-124.png,mid_journey,4,2,2,"[['Female', 28], ['Male', 28], ['Female', 28], ['Male', 80]]"
1011,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-136.png,mid_journey,1,1,0,"[['Female', 40]]"
1012,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-131.png,mid_journey,4,3,1,"[['Male', 40], ['Female', 28], ['Female', 40], ['Female', 28]]"
1013,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-65.png,mid_journey,2,1,1,"[['Female', 1], ['Male', 80]]"
1014,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-104.png,mid_journey,3,2,1,"[['Female', 28], ['Male', 80], ['Female', 40]]"
1015,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-71.png,mid_journey,2,2,0,"[['Female', 10], ['Female', 80]]"
