,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
12,12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-172.jpg,stabilityai,16,4,12,0,16,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.90914916992188, 'left': 329, 'top': 285, 'width': 29, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 99.82707214355469}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.87916564941406, 'left': 54, 'top': 65, 'width': 25, 'height': 38, 'gender': {'gender': 'Male', 'confidence': 99.87772369384766}, 'age': {'minimum': 22, 'maximum': 30}}, {'confidence': 95.66341400146484, 'left': 246, 'top': 274, 'width': 26, 'height': 35, 'gender': {'gender': 'Female', 'confidence': 97.47544860839844}, 'age': {'minimum': 31, 'maximum': 41}}, {'confidence': 99.85712432861328, 'left': 200, 'top': 183, 'width': 26, 'height': 34, 'gender': {'gender': 'Male', 'confidence': 97.11640167236328}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 93.54881286621094, 'left': 31, 'top': 272, 'width': 26, 'height': 31, 'gender': {'gender': 'Female', 'confidence': 87.00382995605469}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 98.58438873291016, 'left': 472, 'top': 193, 'width': 23, 'height': 34, 'gender': {'gender': 'Male', 'confidence': 84.38799285888672}, 'age': {'minimum': 36, 'maximum': 44}}, {'confidence': 97.60511779785156, 'left': 145, 'top': 194, 'width': 24, 'height': 32, 'gender': {'gender': 'Female', 'confidence': 97.01070404052734}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 93.21519470214844, 'left': 328, 'top': 188, 'width': 25, 'height': 30, 'gender': {'gender': 'Male', 'confidence': 54.55796813964844}, 'age': {'minimum': 45, 'maximum': 53}}, {'confidence': 99.50627899169922, 'left': 451, 'top': 177, 'width': 24, 'height': 29, 'gender': {'gender': 'Male', 'confidence': 99.93843078613281}, 'age': {'minimum': 34, 'maximum': 42}}, {'confidence': 96.81402587890625, 'left': 397, 'top': 187, 'width': 22, 'height': 29, 'gender': {'gender': 'Male', 'confidence': 99.87652587890625}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 93.75870513916016, 'left': 280, 'top': 189, 'width': 21, 'height': 29, 'gender': {'gender': 'Male', 'confidence': 99.7482681274414}, 'age': {'minimum': 33, 'maximum': 41}}, {'confidence': 98.16842651367188, 'left': 170, 'top': 186, 'width': 21, 'height': 28, 'gender': {'gender': 'Male', 'confidence': 99.53435516357422}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 92.3822021484375, 'left': 306, 'top': 179, 'width': 15, 'height': 18, 'gender': {'gender': 'Male', 'confidence': 99.34740447998047}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 94.37468719482422, 'left': 265, 'top': 165, 'width': 13, 'height': 18, 'gender': {'gender': 'Male', 'confidence': 99.59715270996094}, 'age': {'minimum': 38, 'maximum': 46}}, {'confidence': 93.98682403564453, 'left': 294, 'top': 166, 'width': 11, 'height': 14, 'gender': {'gender': 'Male', 'confidence': 92.54670715332031}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 93.33844757080078, 'left': 165, 'top': 162, 'width': 10, 'height': 13, 'gender': {'gender': 'Female', 'confidence': 91.72702026367188}, 'age': {'minimum': 14, 'maximum': 22}}], 'date': '2023-07-08T13:35:10.509156', 'order': 1688823310}}"
13,13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-47.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:11.202183', 'order': 1688823311}}"
14,14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-36.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:12.072444', 'order': 1688823312}}"
15,15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-6.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:12.775402', 'order': 1688823312}}"
16,16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-180.jpg,stabilityai,2,0,2,0,1,1,"{'status': 200, 'data': {'detections': [{'confidence': 99.63520812988281, 'left': 389, 'top': 209, 'width': 38, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 50.146018981933594}, 'age': {'minimum': 56, 'maximum': 64}}, {'confidence': 99.79408264160156, 'left': 293, 'top': 271, 'width': 36, 'height': 44, 'gender': {'gender': 'Male', 'confidence': 56.921024322509766}, 'age': {'minimum': 36, 'maximum': 44}}], 'date': '2023-07-08T13:35:13.678582', 'order': 1688823313}}"
17,17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-84.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:14.491974', 'order': 1688823314}}"
18,18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-184.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:15.198092', 'order': 1688823315}}"
19,19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-186.jpg,stabilityai,4,1,3,0,4,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.04682159423828, 'left': 205, 'top': 382, 'width': 16, 'height': 20, 'gender': {'gender': 'Male', 'confidence': 95.3781967163086}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 98.92745971679688, 'left': 34, 'top': 336, 'width': 16, 'height': 18, 'gender': {'gender': 'Female', 'confidence': 96.63554382324219}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 90.06526947021484, 'left': 63, 'top': 322, 'width': 15, 'height': 17, 'gender': {'gender': 'Male', 'confidence': 77.8310775756836}, 'age': {'minimum': 21, 'maximum': 29}}, {'confidence': 97.76641845703125, 'left': 207, 'top': 301, 'width': 14, 'height': 16, 'gender': {'gender': 'Male', 'confidence': 84.66852569580078}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-07-08T13:35:16.370083', 'order': 1688823316}}"
20,20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-21.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:17.096316', 'order': 1688823317}}"
21,21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-137.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:17.887266', 'order': 1688823317}}"
