,Unnamed: 0.1,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
10,10,10,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-130.jpg,stabilityai,3,3,0,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.88219451904297, 'left': 263, 'top': 87, 'width': 37, 'height': 50, 'gender': {'gender': 'Female', 'confidence': 99.71574401855469}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 99.90779113769531, 'left': 206, 'top': 102, 'width': 33, 'height': 53, 'gender': {'gender': 'Female', 'confidence': 99.28971862792969}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 96.1070556640625, 'left': 67, 'top': 115, 'width': 32, 'height': 47, 'gender': {'gender': 'Female', 'confidence': 90.81216430664062}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-06-28T19:37:03.496867', 'order': 1687981023}}"
11,11,11,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-133.jpg,stabilityai,3,3,0,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.85366821289062, 'left': 101, 'top': 205, 'width': 28, 'height': 33, 'gender': {'gender': 'Female', 'confidence': 99.9666519165039}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 99.6738510131836, 'left': 180, 'top': 236, 'width': 26, 'height': 31, 'gender': {'gender': 'Female', 'confidence': 99.96935272216797}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.25516510009766, 'left': 46, 'top': 215, 'width': 23, 'height': 28, 'gender': {'gender': 'Female', 'confidence': 99.98873138427734}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-06-28T19:37:04.887914', 'order': 1687981024}}"
12,12,12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-152.jpg,stabilityai,4,3,1,0,4,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.76750183105469, 'left': 66, 'top': 107, 'width': 32, 'height': 40, 'gender': {'gender': 'Female', 'confidence': 73.56981658935547}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.97188568115234, 'left': 142, 'top': 213, 'width': 28, 'height': 35, 'gender': {'gender': 'Female', 'confidence': 99.92814636230469}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 99.53895568847656, 'left': 279, 'top': 157, 'width': 24, 'height': 31, 'gender': {'gender': 'Male', 'confidence': 88.5573959350586}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.92420959472656, 'left': 196, 'top': 253, 'width': 21, 'height': 27, 'gender': {'gender': 'Female', 'confidence': 99.9668197631836}, 'age': {'minimum': 23, 'maximum': 31}}], 'date': '2023-06-28T19:37:06.202055', 'order': 1687981026}}"
13,13,13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-67.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.65733337402344, 'left': 184, 'top': 87, 'width': 50, 'height': 59, 'gender': {'gender': 'Male', 'confidence': 92.4716567993164}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 99.95854187011719, 'left': 271, 'top': 92, 'width': 43, 'height': 51, 'gender': {'gender': 'Female', 'confidence': 99.99333953857422}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 99.96416473388672, 'left': 414, 'top': 164, 'width': 35, 'height': 49, 'gender': {'gender': 'Female', 'confidence': 99.86388397216797}, 'age': {'minimum': 19, 'maximum': 27}}], 'date': '2023-06-28T19:37:07.407976', 'order': 1687981027}}"
14,14,14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-199.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.97542572021484, 'left': 98, 'top': 180, 'width': 66, 'height': 70, 'gender': {'gender': 'Male', 'confidence': 95.27188110351562}, 'age': {'minimum': 12, 'maximum': 20}}], 'date': '2023-06-28T19:37:08.376651', 'order': 1687981028}}"
15,15,15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-31.jpg,stabilityai,3,3,0,2,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.04440307617188, 'left': 1, 'top': 88, 'width': 39, 'height': 48, 'gender': {'gender': 'Female', 'confidence': 65.7725601196289}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 99.966552734375, 'left': 212, 'top': 226, 'width': 35, 'height': 42, 'gender': {'gender': 'Female', 'confidence': 91.50303649902344}, 'age': {'minimum': 11, 'maximum': 19}}, {'confidence': 99.8547134399414, 'left': 345, 'top': 115, 'width': 30, 'height': 41, 'gender': {'gender': 'Female', 'confidence': 60.70515441894531}, 'age': {'minimum': 11, 'maximum': 19}}], 'date': '2023-06-28T19:37:09.583960', 'order': 1687981029}}"
16,16,16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-87.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.49747467041016, 'left': 120, 'top': 188, 'width': 35, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 99.12901306152344}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 91.84950256347656, 'left': 260, 'top': 195, 'width': 29, 'height': 35, 'gender': {'gender': 'Female', 'confidence': 65.4730453491211}, 'age': {'minimum': 28, 'maximum': 38}}], 'date': '2023-06-28T19:37:10.660147', 'order': 1687981030}}"
17,17,17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-88.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95774841308594, 'left': 408, 'top': 119, 'width': 31, 'height': 37, 'gender': {'gender': 'Female', 'confidence': 99.80394744873047}, 'age': {'minimum': 21, 'maximum': 29}}, {'confidence': 98.5634765625, 'left': 119, 'top': 265, 'width': 19, 'height': 27, 'gender': {'gender': 'Male', 'confidence': 95.66812896728516}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-06-28T19:37:11.800346', 'order': 1687981031}}"
18,18,18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-164.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.88681030273438, 'left': 265, 'top': -3, 'width': 46, 'height': 55, 'gender': {'gender': 'Female', 'confidence': 98.5042724609375}, 'age': {'minimum': 18, 'maximum': 26}}, {'confidence': 99.84527587890625, 'left': 427, 'top': 219, 'width': 34, 'height': 50, 'gender': {'gender': 'Female', 'confidence': 99.4559555053711}, 'age': {'minimum': 12, 'maximum': 20}}], 'date': '2023-06-28T19:37:13.020069', 'order': 1687981033}}"
19,19,19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-74.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.66107177734375, 'left': 180, 'top': 96, 'width': 26, 'height': 36, 'gender': {'gender': 'Female', 'confidence': 96.1221694946289}, 'age': {'minimum': 22, 'maximum': 30}}, {'confidence': 99.93465423583984, 'left': 357, 'top': 163, 'width': 26, 'height': 34, 'gender': {'gender': 'Female', 'confidence': 97.00656127929688}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 98.51387023925781, 'left': 239, 'top': 241, 'width': 24, 'height': 28, 'gender': {'gender': 'Male', 'confidence': 92.27690887451172}, 'age': {'minimum': 29, 'maximum': 39}}], 'date': '2023-06-28T19:37:14.108862', 'order': 1687981034}}"
20,20,20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-29.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.252685546875, 'left': 135, 'top': 45, 'width': 37, 'height': 51, 'gender': {'gender': 'Female', 'confidence': 92.26225280761719}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.86918640136719, 'left': 314, 'top': 141, 'width': 34, 'height': 43, 'gender': {'gender': 'Female', 'confidence': 89.43531036376953}, 'age': {'minimum': 18, 'maximum': 24}}], 'date': '2023-06-28T19:37:15.141822', 'order': 1687981035}}"
21,21,21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-148.jpg,stabilityai,2,2,0,1,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95108032226562, 'left': 293, 'top': 65, 'width': 47, 'height': 59, 'gender': {'gender': 'Female', 'confidence': 99.6432876586914}, 'age': {'minimum': 11, 'maximum': 19}}, {'confidence': 99.9646987915039, 'left': 91, 'top': 140, 'width': 31, 'height': 44, 'gender': {'gender': 'Female', 'confidence': 96.0072021484375}, 'age': {'minimum': 18, 'maximum': 24}}], 'date': '2023-06-28T19:37:16.412687', 'order': 1687981036}}"
22,22,22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-123.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.90335845947266, 'left': 184, 'top': 176, 'width': 31, 'height': 42, 'gender': {'gender': 'Female', 'confidence': 99.6939697265625}, 'age': {'minimum': 18, 'maximum': 26}}, {'confidence': 99.8563232421875, 'left': 58, 'top': 106, 'width': 28, 'height': 41, 'gender': {'gender': 'Female', 'confidence': 68.01464080810547}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-06-28T19:37:17.490905', 'order': 1687981037}}"
23,23,23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-159.jpg,stabilityai,3,3,0,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95278930664062, 'left': 242, 'top': 46, 'width': 51, 'height': 71, 'gender': {'gender': 'Female', 'confidence': 99.94535827636719}, 'age': {'minimum': 31, 'maximum': 41}}, {'confidence': 92.17377471923828, 'left': 163, 'top': 25, 'width': 47, 'height': 62, 'gender': {'gender': 'Female', 'confidence': 99.99874877929688}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 99.88285064697266, 'left': 326, 'top': 84, 'width': 43, 'height': 58, 'gender': {'gender': 'Female', 'confidence': 99.99189758300781}, 'age': {'minimum': 16, 'maximum': 24}}], 'date': '2023-06-28T19:37:18.818893', 'order': 1687981038}}"
24,24,24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-141.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-06-28T19:37:19.622522', 'order': 1687981039}}"
