,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
10,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-154.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.13101196289062, 'left': 379, 'top': 351, 'width': 42, 'height': 42, 'gender': {'gender': 'Male', 'confidence': 54.72435760498047}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 99.69886779785156, 'left': 230, 'top': 93, 'width': 32, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 99.37335968017578}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-07-08T14:24:33.880138', 'order': 1688826273}}"
11,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-131.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 91.61210632324219, 'left': 209, 'top': 279, 'width': 44, 'height': 40, 'gender': {'gender': 'Female', 'confidence': 88.29554748535156}, 'age': {'minimum': 29, 'maximum': 39}}, {'confidence': 99.62516784667969, 'left': 288, 'top': 215, 'width': 36, 'height': 36, 'gender': {'gender': 'Male', 'confidence': 66.81828308105469}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 98.21542358398438, 'left': 425, 'top': 315, 'width': 25, 'height': 31, 'gender': {'gender': 'Female', 'confidence': 98.47968292236328}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T14:24:34.871214', 'order': 1688826274}}"
12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-160.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.30548095703125, 'left': 299, 'top': 121, 'width': 38, 'height': 44, 'gender': {'gender': 'Male', 'confidence': 60.49110794067383}, 'age': {'minimum': 29, 'maximum': 39}}], 'date': '2023-07-08T14:24:35.715261', 'order': 1688826275}}"
13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-117.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T14:24:36.449016', 'order': 1688826276}}"
14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-113.jpg,stabilityai,1,1,0,1,0,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.13059997558594, 'left': 217, 'top': 72, 'width': 40, 'height': 45, 'gender': {'gender': 'Female', 'confidence': 97.56424713134766}, 'age': {'minimum': 6, 'maximum': 14}}], 'date': '2023-07-08T14:24:37.309879', 'order': 1688826277}}"
15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-125.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.90228271484375, 'left': 78, 'top': 92, 'width': 28, 'height': 33, 'gender': {'gender': 'Male', 'confidence': 99.30792999267578}, 'age': {'minimum': 25, 'maximum': 35}}], 'date': '2023-07-08T14:24:38.226498', 'order': 1688826278}}"
16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-45.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 90.34188079833984, 'left': 339, 'top': 311, 'width': 14, 'height': 17, 'gender': {'gender': 'Female', 'confidence': 85.28307342529297}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 98.98309326171875, 'left': 59, 'top': 298, 'width': 13, 'height': 16, 'gender': {'gender': 'Male', 'confidence': 66.38943481445312}, 'age': {'minimum': 14, 'maximum': 22}}], 'date': '2023-07-08T14:24:39.145559', 'order': 1688826279}}"
17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-195.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.76607513427734, 'left': 50, 'top': 371, 'width': 26, 'height': 34, 'gender': {'gender': 'Female', 'confidence': 99.70327758789062}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 99.75121307373047, 'left': 370, 'top': 39, 'width': 26, 'height': 31, 'gender': {'gender': 'Female', 'confidence': 99.70407104492188}, 'age': {'minimum': 20, 'maximum': 28}}], 'date': '2023-07-08T14:24:40.248716', 'order': 1688826280}}"
18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-10.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T14:24:41.021713', 'order': 1688826281}}"
19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-175.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.98446655273438, 'left': 226, 'top': 174, 'width': 32, 'height': 41, 'gender': {'gender': 'Female', 'confidence': 50.27875900268555}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 97.81024932861328, 'left': 359, 'top': 19, 'width': 29, 'height': 34, 'gender': {'gender': 'Male', 'confidence': 94.40604400634766}, 'age': {'minimum': 34, 'maximum': 42}}], 'date': '2023-07-08T14:24:42.009759', 'order': 1688826282}}"
