,image_id,generator,number,female,male,age_details
0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-124.jpg,stabilityai,0,0,0,[]
1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-174.jpg,stabilityai,0,0,0,[]
2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-22.jpg,stabilityai,1,0,1,"[['Male', 80]]"
3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-36.jpg,stabilityai,1,1,0,"[['Female', 28]]"
4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-171.jpg,stabilityai,0,0,0,[]
5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-188.jpg,stabilityai,1,0,1,"[['Male', 1]]"
6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-105.jpg,stabilityai,2,1,1,"[['Male', 80], ['Female', 28]]"
7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-4.jpg,stabilityai,0,0,0,[]
8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-159.jpg,stabilityai,1,1,0,"[['Female', 28]]"
9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-23.jpg,stabilityai,2,1,1,"[['Male', 1], ['Female', 28]]"
10,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-154.jpg,stabilityai,2,1,1,"[['Male', 80], ['Female', 1]]"
11,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-131.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 1]]"
12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-160.jpg,stabilityai,0,0,0,[]
13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-117.jpg,stabilityai,0,0,0,[]
14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-113.jpg,stabilityai,1,1,0,"[['Female', 10]]"
15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-125.jpg,stabilityai,0,0,0,[]
16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-45.jpg,stabilityai,0,0,0,[]
17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-195.jpg,stabilityai,2,0,2,"[['Male', 10], ['Male', 80]]"
18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-10.jpg,stabilityai,1,1,0,"[['Female', 28]]"
19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-175.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 28], ['Female', 1]]"
20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-92.jpg,stabilityai,3,1,2,"[['Male', 28], ['Male', 28], ['Female', 28]]"
21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-153.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 80]]"
22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-62.jpg,stabilityai,1,1,0,"[['Female', 5]]"
23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-77.jpg,stabilityai,1,0,1,"[['Male', 1]]"
24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-193.jpg,stabilityai,2,2,0,"[['Female', 1], ['Female', 80]]"
25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-53.jpg,stabilityai,0,0,0,[]
