,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
0,0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-79.jpg,stabilityai,3,0,3,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 94.6752700805664, 'left': 310, 'top': 106, 'width': 44, 'height': 62, 'gender': {'gender': 'Male', 'confidence': 99.87347412109375}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 92.36505889892578, 'left': 359, 'top': 138, 'width': 41, 'height': 60, 'gender': {'gender': 'Male', 'confidence': 68.76763916015625}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 91.85234832763672, 'left': 235, 'top': 108, 'width': 41, 'height': 52, 'gender': {'gender': 'Male', 'confidence': 99.98587036132812}, 'age': {'minimum': 24, 'maximum': 34}}], 'date': '2023-07-08T10:47:05.422203', 'order': 1688813225}}"
1,1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-59.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.96028900146484, 'left': 189, 'top': 90, 'width': 88, 'height': 140, 'gender': {'gender': 'Male', 'confidence': 99.83734130859375}, 'age': {'minimum': 31, 'maximum': 41}}], 'date': '2023-07-08T10:47:07.079412', 'order': 1688813227}}"
2,2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-32.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.89543151855469, 'left': 394, 'top': 222, 'width': 82, 'height': 87, 'gender': {'gender': 'Male', 'confidence': 99.94881439208984}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 99.68055725097656, 'left': 155, 'top': 129, 'width': 58, 'height': 82, 'gender': {'gender': 'Male', 'confidence': 99.60211944580078}, 'age': {'minimum': 30, 'maximum': 40}}], 'date': '2023-07-08T10:47:08.071139', 'order': 1688813228}}"
3,3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-154.jpg,stabilityai,2,1,1,0,1,1,"{'status': 200, 'data': {'detections': [{'confidence': 99.90773010253906, 'left': 234, 'top': 139, 'width': 42, 'height': 44, 'gender': {'gender': 'Male', 'confidence': 99.98438262939453}, 'age': {'minimum': 52, 'maximum': 60}}, {'confidence': 99.08136749267578, 'left': 158, 'top': 199, 'width': 27, 'height': 45, 'gender': {'gender': 'Female', 'confidence': 87.93959045410156}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-07-08T10:47:09.082518', 'order': 1688813229}}"
4,4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-166.jpg,stabilityai,3,0,3,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.33952331542969, 'left': 254, 'top': 180, 'width': 57, 'height': 78, 'gender': {'gender': 'Male', 'confidence': 98.18685913085938}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 97.56718444824219, 'left': 20, 'top': 173, 'width': 65, 'height': 63, 'gender': {'gender': 'Male', 'confidence': 99.67510986328125}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.92122650146484, 'left': 362, 'top': 208, 'width': 40, 'height': 64, 'gender': {'gender': 'Male', 'confidence': 99.93124389648438}, 'age': {'minimum': 42, 'maximum': 50}}], 'date': '2023-07-08T10:47:11.271774', 'order': 1688813231}}"
5,5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-149.jpg,stabilityai,6,2,4,0,6,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.45914459228516, 'left': 282, 'top': 212, 'width': 43, 'height': 80, 'gender': {'gender': 'Male', 'confidence': 99.71505737304688}, 'age': {'minimum': 34, 'maximum': 42}}, {'confidence': 99.86875915527344, 'left': 373, 'top': 172, 'width': 44, 'height': 71, 'gender': {'gender': 'Male', 'confidence': 99.84742736816406}, 'age': {'minimum': 35, 'maximum': 43}}, {'confidence': 99.89545440673828, 'left': 111, 'top': 245, 'width': 51, 'height': 60, 'gender': {'gender': 'Female', 'confidence': 98.21162414550781}, 'age': {'minimum': 29, 'maximum': 39}}, {'confidence': 99.79168701171875, 'left': 87, 'top': 117, 'width': 48, 'height': 61, 'gender': {'gender': 'Female', 'confidence': 95.73861694335938}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.96819305419922, 'left': 461, 'top': 175, 'width': 46, 'height': 56, 'gender': {'gender': 'Male', 'confidence': 99.8208999633789}, 'age': {'minimum': 37, 'maximum': 45}}, {'confidence': 99.89002990722656, 'left': 42, 'top': 59, 'width': 41, 'height': 59, 'gender': {'gender': 'Male', 'confidence': 99.71405029296875}, 'age': {'minimum': 29, 'maximum': 39}}], 'date': '2023-07-08T10:47:12.380424', 'order': 1688813232}}"
6,6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-179.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.48957824707031, 'left': 164, 'top': 82, 'width': 58, 'height': 50, 'gender': {'gender': 'Male', 'confidence': 99.86994171142578}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 99.66256713867188, 'left': 346, 'top': 40, 'width': 41, 'height': 64, 'gender': {'gender': 'Male', 'confidence': 92.8755874633789}, 'age': {'minimum': 39, 'maximum': 47}}], 'date': '2023-07-08T10:47:13.435078', 'order': 1688813233}}"
7,7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-40.jpg,stabilityai,3,1,2,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.85433959960938, 'left': 270, 'top': 219, 'width': 47, 'height': 49, 'gender': {'gender': 'Male', 'confidence': 99.59886932373047}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 99.94478607177734, 'left': 424, 'top': 205, 'width': 34, 'height': 46, 'gender': {'gender': 'Male', 'confidence': 98.56656646728516}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 99.90612030029297, 'left': 127, 'top': 195, 'width': 32, 'height': 48, 'gender': {'gender': 'Female', 'confidence': 99.52184295654297}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T10:47:14.413442', 'order': 1688813234}}"
8,8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-5.jpg,stabilityai,5,0,5,0,5,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.31315612792969, 'left': 313, 'top': 115, 'width': 43, 'height': 52, 'gender': {'gender': 'Male', 'confidence': 99.79554748535156}, 'age': {'minimum': 29, 'maximum': 39}}, {'confidence': 99.91813659667969, 'left': 412, 'top': 79, 'width': 35, 'height': 43, 'gender': {'gender': 'Male', 'confidence': 99.99237060546875}, 'age': {'minimum': 38, 'maximum': 46}}, {'confidence': 99.77113342285156, 'left': 27, 'top': 72, 'width': 31, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 99.20868682861328}, 'age': {'minimum': 40, 'maximum': 48}}, {'confidence': 99.24099731445312, 'left': 217, 'top': 92, 'width': 31, 'height': 36, 'gender': {'gender': 'Male', 'confidence': 99.92697143554688}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.48870849609375, 'left': 160, 'top': 102, 'width': 27, 'height': 34, 'gender': {'gender': 'Male', 'confidence': 98.85961151123047}, 'age': {'minimum': 33, 'maximum': 41}}], 'date': '2023-07-08T10:47:15.767870', 'order': 1688813235}}"
9,9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-77.jpg,stabilityai,9,1,8,0,7,1,"{'status': 200, 'data': {'detections': [{'confidence': 99.54496002197266, 'left': 53, 'top': 111, 'width': 36, 'height': 47, 'gender': {'gender': 'Male', 'confidence': 99.9831314086914}, 'age': {'minimum': 42, 'maximum': 50}}, {'confidence': 99.56971740722656, 'left': 388, 'top': 127, 'width': 31, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 99.95504760742188}, 'age': {'minimum': 47, 'maximum': 53}}, {'confidence': 99.81771850585938, 'left': 120, 'top': 99, 'width': 34, 'height': 44, 'gender': {'gender': 'Male', 'confidence': 85.97367095947266}, 'age': {'minimum': 54, 'maximum': 62}}, {'confidence': 99.84466552734375, 'left': 268, 'top': 123, 'width': 31, 'height': 43, 'gender': {'gender': 'Male', 'confidence': 99.90907287597656}, 'age': {'minimum': 37, 'maximum': 45}}, {'confidence': 99.95396423339844, 'left': 228, 'top': 146, 'width': 28, 'height': 47, 'gender': {'gender': 'Male', 'confidence': 99.60425567626953}, 'age': {'minimum': 38, 'maximum': 46}}, {'confidence': 97.85111236572266, 'left': 310, 'top': 120, 'width': 31, 'height': 41, 'gender': {'gender': 'Female', 'confidence': 65.9818344116211}, 'age': {'minimum': 50, 'maximum': 58}}, {'confidence': 99.94029998779297, 'left': 435, 'top': 118, 'width': 30, 'height': 40, 'gender': {'gender': 'Male', 'confidence': 99.90752410888672}, 'age': {'minimum': 37, 'maximum': 45}}, {'confidence': 94.5831069946289, 'left': 66, 'top': 187, 'width': 27, 'height': 43, 'gender': {'gender': 'Male', 'confidence': 96.73847961425781}, 'age': {'minimum': 38, 'maximum': 46}}, {'confidence': 99.6509017944336, 'left': 203, 'top': 148, 'width': 28, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 95.29644012451172}, 'age': {'minimum': 48, 'maximum': 54}}], 'date': '2023-07-08T10:47:17.211138', 'order': 1688813237}}"
