,image_id,generator,number,female,male,age_details
0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-79.jpg,stabilityai,0,0,0,[]
1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-59.jpg,stabilityai,0,0,0,[]
2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-32.jpg,stabilityai,2,1,1,"[['Male', 28], ['Female', 28]]"
3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-154.jpg,stabilityai,2,0,2,"[['Male', 40], ['Male', 80]]"
4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-166.jpg,stabilityai,2,1,1,"[['Female', 1], ['Male', 80]]"
5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-149.jpg,stabilityai,4,3,1,"[['Female', 28], ['Female', 28], ['Male', 28], ['Female', 28]]"
6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-179.jpg,stabilityai,1,1,0,"[['Female', 28]]"
7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-40.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 28], ['Female', 28]]"
8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-5.jpg,stabilityai,5,4,1,"[['Female', 40], ['Female', 28], ['Female', 40], ['Male', 28], ['Female', 50]]"
9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-77.jpg,stabilityai,6,6,0,"[['Female', 28], ['Female', 28], ['Female', 28], ['Female', 28], ['Female', 40], ['Female', 28]]"
10,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-46.jpg,stabilityai,3,2,1,"[['Female', 28], ['Female', 28], ['Male', 28]]"
11,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-162.jpg,stabilityai,5,4,1,"[['Female', 28], ['Female', 28], ['Male', 80], ['Female', 28], ['Female', 80]]"
12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-156.jpg,stabilityai,7,6,1,"[['Female', 40], ['Female', 28], ['Female', 28], ['Female', 40], ['Female', 28], ['Male', 1], ['Female', 28]]"
13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-42.jpg,stabilityai,4,3,1,"[['Female', 28], ['Male', 28], ['Female', 28], ['Female', 28]]"
14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-49.jpg,stabilityai,2,1,1,"[['Male', 28], ['Female', 1]]"
15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-98.jpg,stabilityai,2,1,1,"[['Female', 28], ['Male', 28]]"
16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-160.jpg,stabilityai,5,3,2,"[['Male', 28], ['Female', 40], ['Male', 80], ['Female', 28], ['Female', 10]]"
17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-170.jpg,stabilityai,6,5,1,"[['Female', 28], ['Female', 80], ['Female', 28], ['Female', 28], ['Male', 28], ['Female', 80]]"
18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-76.jpg,stabilityai,2,2,0,"[['Female', 50], ['Female', 28]]"
19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-9.jpg,stabilityai,2,1,1,"[['Male', 28], ['Female', 28]]"
20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-25.jpg,stabilityai,3,2,1,"[['Male', 28], ['Female', 28], ['Female', 28]]"
21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-41.jpg,stabilityai,1,0,1,"[['Male', 28]]"
22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-106.jpg,stabilityai,5,4,1,"[['Female', 80], ['Female', 80], ['Male', 1], ['Female', 28], ['Female', 28]]"
23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-191.jpg,stabilityai,4,2,2,"[['Female', 80], ['Female', 40], ['Male', 28], ['Male', 28]]"
24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-11.jpg,stabilityai,4,2,2,"[['Male', 10], ['Female', 28], ['Male', 28], ['Female', 40]]"
25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-69.jpg,stabilityai,3,1,2,"[['Female', 40], ['Male', 28], ['Male', 80]]"
26,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-37.jpg,stabilityai,3,3,0,"[['Female', 40], ['Female', 40], ['Female', 28]]"
27,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-56.jpg,stabilityai,5,3,2,"[['Female', 28], ['Female', 28], ['Male', 80], ['Male', 28], ['Female', 28]]"
28,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-168.jpg,stabilityai,1,1,0,"[['Female', 28]]"
29,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-161.jpg,stabilityai,2,1,1,"[['Female', 40], ['Male', 28]]"
30,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-134.jpg,stabilityai,5,4,1,"[['Female', 28], ['Male', 1], ['Female', 80], ['Female', 28], ['Female', 10]]"
31,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-51.jpg,stabilityai,2,2,0,"[['Female', 80], ['Female', 1]]"
32,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-66.jpg,stabilityai,1,0,1,"[['Male', 40]]"
33,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-43.jpg,stabilityai,1,1,0,"[['Female', 80]]"
34,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-82.jpg,stabilityai,1,0,1,"[['Male', 40]]"
35,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-22.jpg,stabilityai,4,3,1,"[['Female', 28], ['Female', 80], ['Male', 28], ['Female', 28]]"
36,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-138.jpg,stabilityai,6,5,1,"[['Female', 28], ['Female', 40], ['Male', 40], ['Female', 80], ['Female', 40], ['Female', 40]]"
37,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-33.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 28], ['Female', 28]]"
38,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-141.jpg,stabilityai,2,1,1,"[['Male', 1], ['Female', 28]]"
39,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-4.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 10]]"
40,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-182.jpg,stabilityai,4,4,0,"[['Female', 28], ['Female', 40], ['Female', 28], ['Female', 28]]"
41,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-178.jpg,stabilityai,8,6,2,"[['Female', 28], ['Female', 28], ['Female', 28], ['Female', 28], ['Female', 80], ['Male', 10], ['Female', 50], ['Male', 28]]"
42,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-16.jpg,stabilityai,2,1,1,"[['Female', 28], ['Male', 28]]"
43,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-174.jpg,stabilityai,3,2,1,"[['Female', 80], ['Male', 80], ['Female', 28]]"
44,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-81.jpg,stabilityai,2,2,0,"[['Female', 1], ['Female', 10]]"
45,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-172.jpg,stabilityai,7,7,0,"[['Female', 28], ['Female', 40], ['Female', 28], ['Female', 40], ['Female', 40], ['Female', 28], ['Female', 40]]"
46,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-139.jpg,stabilityai,2,2,0,"[['Female', 80], ['Female', 80]]"
47,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-148.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 80], ['Female', 28]]"
48,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-67.jpg,stabilityai,6,4,2,"[['Female', 1], ['Female', 28], ['Female', 40], ['Male', 1], ['Female', 28], ['Male', 40]]"
49,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-86.jpg,stabilityai,5,1,4,"[['Female', 28], ['Male', 28], ['Male', 28], ['Male', 80], ['Male', 1]]"
50,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-113.jpg,stabilityai,1,1,0,"[['Female', 28]]"
51,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-21.jpg,stabilityai,3,2,1,"[['Female', 40], ['Male', 28], ['Female', 28]]"
52,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-194.jpg,stabilityai,4,2,2,"[['Male', 80], ['Female', 80], ['Male', 28], ['Female', 28]]"
53,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-96.jpg,stabilityai,2,2,0,"[['Female', 10], ['Female', 28]]"
54,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-91.jpg,stabilityai,2,1,1,"[['Male', 1], ['Female', 80]]"
55,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-73.jpg,stabilityai,1,0,1,"[['Male', 28]]"
56,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_3/SD-STABLILITY-P3-60.jpg,stabilityai,1,1,0,"[['Female', 80]]"
